year,geo_name,geo,mean_commute_minutes
2015,"Pike County","05000US42103",42.1331
2015,"Bronx County, NY","05000US36005",41.6023
2015,"Richmond County, NY","05000US36085",41.5824
2013,"Charles County, MD","05000US24017",41.5622
2015,"Queens County, NY","05000US36081",41.555
2015,"Charles County, MD","05000US24017",41.3987
2014,"Charles County, MD","05000US24017",41.3447
2014,"Bronx County, NY","05000US36005",41.229
2013,"Bronx County, NY","05000US36005",41.0295
2015,"Toa Alta Municipio","05000US72135",41.0136
2014,"Queens County, NY","05000US36081",40.9472
2013,"Queens County, NY","05000US36081",40.8761
2013,"Toa Alta Municipio","05000US72135",40.8545
2015,"Warren County","05000US51187",40.8514
2014,"Pike County","05000US42103",40.8269
2014,"Richmond County, NY","05000US36085",40.7662
2013,"Richmond County, NY","05000US36085",40.7347
2014,"Toa Alta Municipio","05000US72135",40.4689
2015,"Clay County","05000US54015",40.2192
2015,"Kings County, NY","05000US36047",40.1111
2013,"Pike County","05000US42103",39.9597
2014,"San Jacinto County","05000US48407",39.9022
2014,"Warren County","05000US51187",39.868
2014,"Kings County, NY","05000US36047",39.7434
2015,"Greene County","05000US28041",39.6809
2013,"Manassas Park city","05000US51685",39.6061
2013,"Kings County, NY","05000US36047",39.4511
2015,"Westmoreland County","05000US51193",39.4443
2014,"Greene County","05000US28041",39.4248
2013,"Park County","05000US08093",39.3863
2015,"San Jacinto County","05000US48407",39.3851
2014,"Amite County","05000US28005",39.3165
2014,"Manassas Park city","05000US51685",39.2403
2013,"Franklin County","05000US28037",39.1998
2015,"Calhoun County","05000US17013",38.9276
2015,"Orange County","05000US51137",38.854
2014,"Orange County","05000US51137",38.8173
2014,"Stafford County, VA","05000US51179",38.7711
2015,"Manassas Park city","05000US51685",38.6407
2014,"Clay County","05000US54015",38.6281
2013,"Río Grande Municipio","05000US72119",38.4781
2015,"Calvert County","05000US24009",38.3899
2015,"Stafford County, VA","05000US51179",38.2837
2014,"Loíza Municipio","05000US72087",38.275
2013,"Heard County","05000US13149",38.2698
2014,"Calvert County","05000US24009",38.2565
2013,"Orange County","05000US51137",38.2191
2014,"LaSalle Parish","05000US22059",38.2175
2013,"King and Queen County","05000US51097",38.2053
2014,"Franklin County","05000US28037",38.1646
2013,"San Jacinto County","05000US48407",38.1149
2014,"Westmoreland County","05000US51193",38.1149
2015,"Loíza Municipio","05000US72087",38.101
2013,"Pendleton County","05000US21191",38.0986
2015,"Prince William County, VA","05000US51153",38.0848
2013,"Calvert County","05000US24009",38.0807
2013,"Warren County","05000US51187",38.0518
2013,"Loíza Municipio","05000US72087",37.8258
2015,"Franklin County","05000US28037",37.8166
2014,"Heard County","05000US13149",37.795
2014,"Prince William County, VA","05000US51153",37.7921
2014,"Hampshire County","05000US54027",37.7785
2015,"Walthall County","05000US28147",37.7597
2015,"Park County","05000US08093",37.7104
2014,"Río Grande Municipio","05000US72119",37.7053
2013,"Prince William County, VA","05000US51153",37.6724
2013,"Stafford County, VA","05000US51179",37.6631
2015,"Río Grande Municipio","05000US72119",37.5757
2015,"Morovis Municipio","05000US72101",37.528
2014,"Hickman County","05000US47081",37.5169
2013,"Hickman County","05000US47081",37.4981
2015,"Hampshire County","05000US54027",37.4946
2013,"St. Helena Parish","05000US22091",37.4154
2013,"Monroe County, PA","05000US42089",37.3428
2015,"Heard County","05000US13149",37.3182
2014,"Putnam County, NY","05000US36079",37.2971
2015,"Amite County","05000US28005",37.2811
2013,"Hampshire County","05000US54027",37.2604
2014,"Monroe County, PA","05000US42089",37.1738
2014,"Walthall County","05000US28147",37.1323
2014,"Fauquier County","05000US51061",37.0917
2015,"Putnam County, NY","05000US36079",37.0787
2014,"Pendleton County","05000US21191",36.9802
2013,"Bandera County","05000US48019",36.943
2015,"Comerío Municipio","05000US72045",36.9382
2014,"Jasper County","05000US13159",36.9346
2013,"Calhoun County","05000US17013",36.9266
2015,"Craig County","05000US51045",36.918
2015,"Jefferson County","05000US54037",36.9155
2015,"Fauquier County","05000US51061",36.8969
2014,"Spotsylvania County, VA","05000US51177",36.8748
2014,"Elbert County","05000US08039",36.8364
2015,"Cumberland County","05000US51049",36.8319
2013,"Putnam County, NY","05000US36079",36.7549
2014,"Park County","05000US08093",36.7498
2014,"Jefferson County","05000US54037",36.7339
2015,"Monroe County, PA","05000US42089",36.7089
2015,"Culpeper County","05000US51047",36.6887
2013,"Jefferson County","05000US54037",36.61
2013,"Fauquier County","05000US51061",36.6029
2015,"Spotsylvania County, VA","05000US51177",36.5719
2015,"LaSalle Parish","05000US22059",36.5468
2015,"Lawrence County","05000US28077",36.5345
2013,"Canóvanas Municipio","05000US72029",36.502
2013,"Greene County","05000US28041",36.4936
2013,"Spotsylvania County, VA","05000US51177",36.3844
2014,"Calhoun County","05000US17013",36.3477
2014,"Morovis Municipio","05000US72101",36.3239
2013,"Clay County","05000US54015",36.1607
2014,"Lawrence County","05000US28077",36.1227
2015,"Bracken County","05000US21023",36.1022
2013,"Caroline County","05000US51033",36.0389
2015,"Sussex County, NJ","05000US34037",36.002
2015,"Canóvanas Municipio","05000US72029",35.9904
2014,"Sussex County, NJ","05000US34037",35.9846
2013,"Gates County","05000US37073",35.9643
2014,"Canóvanas Municipio","05000US72029",35.924
2015,"Gates County","05000US37073",35.9224
2013,"Elbert County","05000US08039",35.9001
2014,"Wilkinson County","05000US28157",35.8629
2014,"Culpeper County","05000US51047",35.861
2014,"Newton County","05000US05101",35.8572
2013,"Westmoreland County","05000US51193",35.8428
2015,"Hickman County","05000US47081",35.8061
2014,"St. Helena Parish","05000US22091",35.7816
2015,"Wilkinson County","05000US28157",35.7198
2013,"Paulding County, GA","05000US13223",35.6959
2015,"Rains County","05000US48379",35.6629
2015,"Prince George's County, MD","05000US24033",35.5892
2015,"Newton County","05000US48351",35.5711
2013,"Toa Baja Municipio","05000US72137",35.5214
2013,"Clarke County","05000US51043",35.4925
2013,"Sussex County, NJ","05000US34037",35.4393
2015,"Gurabo Municipio","05000US72063",35.4268
2015,"Elbert County","05000US08039",35.4193
2013,"Newton County","05000US05101",35.407
2013,"Jasper County","05000US13159",35.2973
2014,"Gurabo Municipio","05000US72063",35.2754
2013,"Bayamón Municipio, PR","05000US72021",35.2541
2015,"George County","05000US28039",35.2449
2014,"Prince George's County, MD","05000US24033",35.2254
2014,"Naranjito Municipio","05000US72105",35.1984
2015,"Pendleton County","05000US21191",35.1864
2015,"Paulding County, GA","05000US13223",35.1528
2014,"Paulding County, GA","05000US13223",35.1503
2014,"Surry County","05000US51181",35.1389
2014,"George County","05000US28039",35.1129
2015,"St. Helena Parish","05000US22091",35.11
2014,"Gates County","05000US37073",35.0803
2015,"Simpson County","05000US28127",35.0712
2014,"Toa Baja Municipio","05000US72137",35.0555
2015,"Buckingham County","05000US51029",35.0129
2014,"Bandera County","05000US48019",35.011
2013,"Naguabo Municipio","05000US72103",34.9724
2015,"Camden County","05000US37029",34.9536
2014,"Stewart County","05000US47161",34.9372
2015,"Bayamón Municipio, PR","05000US72021",34.9352
2013,"Amite County","05000US28005",34.9232
2013,"Prince George's County, MD","05000US24033",34.8825
2014,"Bayamón Municipio, PR","05000US72021",34.8576
2014,"King and Queen County","05000US51097",34.8259
2015,"Naranjito Municipio","05000US72105",34.802
2015,"Surry County","05000US51181",34.7587
2014,"Caroline County","05000US51033",34.7579
2015,"Corozal Municipio","05000US72047",34.7158
2013,"Benton County","05000US28009",34.6857
2015,"Vega Alta Municipio","05000US72143",34.6501
2015,"Toa Baja Municipio","05000US72137",34.6481
2015,"Currituck County","05000US37053",34.6468
2015,"King George County","05000US51099",34.6318
2014,"Camden County","05000US37029",34.6307
2015,"Washington County","05000US29221",34.6049
2015,"Morgan County","05000US21175",34.5882
2014,"King George County","05000US51099",34.5841
2015,"Charles City County","05000US51036",34.5788
2014,"Martin County","05000US21159",34.5636
2013,"Stewart County","05000US47161",34.5378
2013,"Wilkinson County","05000US28157",34.5324
2013,"Morovis Municipio","05000US72101",34.5281
2014,"Craig County","05000US51045",34.5262
2014,"Juncos Municipio","05000US72077",34.5237
2014,"Menifee County","05000US21165",34.4717
2014,"Corozal Municipio","05000US72047",34.4582
2013,"Doddridge County","05000US54017",34.4196
2015,"Caroline County","05000US51033",34.3822
2015,"Martin County","05000US21159",34.3654
2014,"Lincoln County","05000US54043",34.3654
2013,"Catahoula Parish","05000US22025",34.3491
2013,"Brown County","05000US39015",34.3447
2013,"Lawrence County","05000US21127",34.2985
2013,"Lawrence County","05000US28077",34.2968
2014,"Clarke County","05000US51043",34.2889
2014,"Liberty County","05000US48291",34.2623
2015,"Doddridge County","05000US54017",34.2479
2015,"Pike County","05000US13231",34.2009
2013,"Martin County","05000US21159",34.1865
2014,"Perry County","05000US39127",34.1777
2015,"Juncos Municipio","05000US72077",34.1583
2014,"Newton County","05000US48351",34.1517
2013,"Brown County","05000US18013",34.1236
2015,"Orocovis Municipio","05000US72107",34.1119
2015,"Jasper County","05000US13159",34.1026
2015,"Newton County","05000US05101",34.0991
2013,"Camden County","05000US37029",34.0868
2013,"Charles City County","05000US51036",34.0812
2013,"Gurabo Municipio","05000US72063",34.0737
2015,"Blount County","05000US01009",34.0727
2013,"Culpeper County","05000US51047",34.0529
2015,"Liberty County","05000US48291",34.049
2014,"Vega Alta Municipio","05000US72143",34.043
2014,"Buckingham County","05000US51029",34.031
2015,"Rappahannock County","05000US51157",34.0226
2015,"Switzerland County","05000US18155",33.9932
2014,"Cannon County","05000US47015",33.9738
2015,"San Lorenzo Municipio","05000US72129",33.9426
2013,"Menifee County","05000US21165",33.9384
2015,"Cameron Parish","05000US22023",33.9325
2014,"Currituck County","05000US37053",33.9281
2014,"Cumberland County","05000US51049",33.9203
2015,"Pearl River County","05000US28109",33.8495
2013,"Liberty County","05000US48291",33.843
2015,"Jefferson Davis County","05000US28065",33.8415
2013,"LaSalle Parish","05000US22059",33.8374
2014,"Brown County","05000US18013",33.8266
2014,"Doddridge County","05000US54017",33.8256
2015,"Hudson County, NJ","05000US34017",33.8097
2014,"Orocovis Municipio","05000US72107",33.7973
2013,"Maricao Municipio","05000US72093",33.7729
2014,"Charles City County","05000US51036",33.7445
2013,"Perry County","05000US39127",33.7224
2013,"Simpson County","05000US28127",33.7018
2013,"George County","05000US28039",33.6874
2014,"Louisa County","05000US51109",33.6738
2013,"Corozal Municipio","05000US72047",33.6565
2015,"Carroll County, MD","05000US24013",33.6224
2013,"Naranjito Municipio","05000US72105",33.6086
2015,"Nassau County, NY","05000US36059",33.6086
2014,"Tyler County","05000US48457",33.606
2013,"Perry County","05000US05105",33.588
2014,"Carroll County, MD","05000US24013",33.5868
2014,"San Lorenzo Municipio","05000US72129",33.5283
2013,"Calaveras County","05000US06009",33.5017
2014,"Hudson County, NJ","05000US34017",33.4811
2013,"Vega Alta Municipio","05000US72143",33.4654
2014,"Pike County","05000US13231",33.4617
2013,"Newton County","05000US48351",33.4471
2015,"Stewart County","05000US47161",33.4445
2015,"Trujillo Alto Municipio","05000US72139",33.4004
2013,"Juncos Municipio","05000US72077",33.3832
2013,"Monroe County","05000US54063",33.3757
2014,"Lincoln County","05000US29113",33.3719
2014,"Grant Parish","05000US22043",33.3512
2014,"Livingston Parish, LA","05000US22063",33.3441
2013,"Cannon County","05000US47015",33.3308
2014,"Washington County","05000US29221",33.3234
2014,"Jefferson Davis County","05000US28065",33.3191
2015,"Elliott County","05000US21063",33.3119
2013,"Cameron Parish","05000US22023",33.3074
2015,"Louisa County","05000US51109",33.3057
2014,"Naguabo Municipio","05000US72103",33.3014
2014,"Simpson County","05000US28127",33.2965
2015,"Lincoln County","05000US54043",33.2906
2013,"Calhoun County","05000US54013",33.2888
2013,"Union County","05000US47173",33.2808
2014,"Blount County","05000US01009",33.2806
2015,"Vinton County","05000US39163",33.2549
2013,"Livingston Parish, LA","05000US22063",33.2448
2013,"Louisa County","05000US51109",33.2374
2013,"Bollinger County","05000US29017",33.2356
2015,"Contra Costa County, CA","05000US06013",33.2232
2014,"Cameron Parish","05000US22023",33.1986
2014,"Trujillo Alto Municipio","05000US72139",33.1802
2013,"Carroll County, MD","05000US24013",33.1795
2014,"Brown County","05000US39015",33.1795
2013,"Hudson County, NJ","05000US34017",33.1744
2015,"Aguas Buenas Municipio","05000US72007",33.1736
2015,"King and Queen County","05000US51097",33.1713
2013,"Blount County","05000US01009",33.1703
2013,"Dorado Municipio","05000US72051",33.166
2013,"Walthall County","05000US28147",33.1578
2014,"Pearl River County","05000US28109",33.1571
2014,"Talbot County","05000US13263",33.1552
2014,"Dorado Municipio","05000US72051",33.1536
2015,"Lincoln County","05000US29113",33.14
2013,"Bracken County","05000US21023",33.1245
2015,"Adams County","05000US39001",33.1137
2015,"Bandera County","05000US48019",33.1099
2015,"Brown County","05000US39015",33.1098
2013,"Lincoln County","05000US29113",33.0927
2015,"Warren County, NJ","05000US34041",33.0919
2014,"Warren County, NJ","05000US34041",33.0845
2014,"Nassau County, NY","05000US36059",33.0614
2013,"Choctaw County","05000US01023",33.0609
2015,"Livingston Parish, LA","05000US22063",33.0588
2015,"Boise County","05000US16015",33.0516
2013,"King George County","05000US51099",33.0426
2015,"Manassas city","05000US51683",33.0267
2014,"Morgan County","05000US54065",33.0138
2015,"Dorado Municipio","05000US72051",33.004
2013,"Surry County","05000US51181",32.9926
2013,"Linn County","05000US20107",32.9925
2015,"Houston County","05000US47083",32.9675
2013,"Trujillo Alto Municipio","05000US72139",32.967
2014,"Union County","05000US47173",32.9528
2014,"Comerío Municipio","05000US72045",32.941
2013,"Stone County","05000US28131",32.9405
2014,"Estill County","05000US21065",32.9375
2013,"Colleton County","05000US45029",32.9083
2015,"Union County","05000US47173",32.9075
2014,"Frederick County, MD","05000US24021",32.9061
2014,"Bracken County","05000US21023",32.8802
2013,"Page County","05000US51139",32.8652
2013,"Nassau County, NY","05000US36059",32.8548
2014,"Van Zandt County","05000US48467",32.854
2013,"Bastrop County","05000US48021",32.8388
2015,"Amelia County","05000US51007",32.8315
2015,"Estill County","05000US21065",32.814
2013,"Currituck County","05000US37053",32.7951
2014,"Lawrence County","05000US21127",32.7946
2013,"Warren County, NJ","05000US34041",32.7744
2013,"Roane County","05000US54087",32.7744
2015,"Frederick County, MD","05000US24021",32.7365
2013,"Manassas city","05000US51683",32.7348
2014,"Linn County","05000US20107",32.6949
2014,"Rains County","05000US48379",32.662
2013,"Vega Baja Municipio","05000US72145",32.6416
2013,"Pike County","05000US13231",32.6333
2015,"Van Zandt County","05000US48467",32.6176
2014,"Ohio County","05000US18115",32.6077
2015,"Montgomery County, MD","05000US24031",32.5958
2014,"Amelia County","05000US51007",32.5837
2013,"Washington County","05000US29221",32.5704
2013,"Amelia County","05000US51007",32.555
2015,"Calhoun County","05000US54013",32.5548
2014,"Jim Hogg County","05000US48247",32.5509
2015,"Lawrence County","05000US21127",32.5414
2013,"Lincoln County","05000US54043",32.537
2015,"Queen Anne's County","05000US24035",32.5315
2015,"Essex County, NJ","05000US34013",32.5214
2013,"Grimes County","05000US48185",32.494
2015,"Talbot County","05000US13263",32.4929
2013,"Frederick County, MD","05000US24021",32.489
2013,"Grainger County","05000US47057",32.4806
2015,"Perry County","05000US39127",32.4777
2014,"Bastrop County","05000US48021",32.4741
2014,"Montgomery County, MD","05000US24031",32.4462
2015,"Wakulla County","05000US12129",32.4328
2013,"Pearl River County","05000US28109",32.4217
2013,"Caldwell Parish","05000US22021",32.4121
2014,"Vega Baja Municipio","05000US72145",32.4105
2015,"Marion County","05000US28091",32.3983
2013,"Jefferson Davis County","05000US28065",32.39
2015,"McHenry County, IL","05000US17111",32.3878
2014,"Leake County","05000US28079",32.3843
2015,"Clarke County","05000US51043",32.3747
2015,"Cannon County","05000US47015",32.3687
2014,"Monroe County","05000US54063",32.3635
2013,"Orocovis Municipio","05000US72107",32.3629
2014,"Searcy County","05000US05129",32.3529
2013,"Robertson County","05000US21201",32.346
2015,"Isanti County","05000US27059",32.344
2015,"Lapeer County","05000US26087",32.341
2014,"Marion County","05000US28091",32.3326
2015,"Brown County","05000US18013",32.3149
2015,"Naguabo Municipio","05000US72103",32.3084
2013,"Montgomery County, MD","05000US24031",32.3052
2013,"Barrow County","05000US13013",32.2979
2014,"Bollinger County","05000US29017",32.2858
2014,"Contra Costa County, CA","05000US06013",32.2802
2015,"Tyler County","05000US48457",32.2624
2014,"Manassas city","05000US51683",32.2588
2013,"Jackson County","05000US21109",32.2531
2015,"Perry County","05000US05105",32.2383
2015,"Morgan County","05000US54065",32.2268
2014,"Caroline County","05000US24011",32.2168
2013,"Morgan County","05000US54065",32.2018
2015,"Washington County","05000US01129",32.1878
2013,"Caswell County","05000US37033",32.1811
2013,"Cumberland County","05000US51049",32.1802
2014,"Page County","05000US51139",32.1794
2014,"Colleton County","05000US45029",32.1728
2015,"Cleburne County","05000US01029",32.1689
2015,"Caguas Municipio, PR","05000US72025",32.1653
2014,"Spencer County","05000US21215",32.1629
2013,"Leake County","05000US28079",32.1471
2015,"Carolina Municipio, PR","05000US72031",32.1457
2013,"Grant Parish","05000US22043",32.1429
2014,"Queen Anne's County","05000US24035",32.1354
2014,"Perry County","05000US05105",32.132
2014,"Benton County","05000US28009",32.1262
2013,"Estill County","05000US21065",32.1205
2013,"Spencer County","05000US21215",32.1148
2014,"Essex County, NJ","05000US34013",32.1121
2015,"Matanuska-Susitna Borough","05000US02170",32.1031
2015,"Jim Hogg County","05000US48247",32.1026
