year,geo_name,geo,child_mortality
2015,"Corson County","05000US46031",327.0
2016,"Sioux County","05000US38085",326.7
2017,"Jackson County","05000US46071",299.4
2015,"Wade Hampton Census Area","05000US02270",277.7
2016,"Wade Hampton Census Area","05000US02270",265.0
2016,"Bennett County","05000US46007",256.8
2015,"Sioux County","05000US38085",253.4
2016,"Corson County","05000US46031",250.3
2017,"Corson County","05000US46031",244.5
2015,"Scott County","05000US20171",241.1
2017,"Broadwater County","05000US30007",230.7
2017,"Sioux County","05000US38085",226.8
2015,"Jefferson County","05000US28063",222.4
2017,"Shannon County","05000US46113",221.0
2015,"Bennett County","05000US46007",214.4
2016,"Choctaw County","05000US28019",213.8
2016,"Benson County","05000US38005",208.4
2015,"Benson County","05000US38005",200.6
2015,"Montgomery County","05000US28097",200.3
2015,"Shannon County","05000US46113",199.3
2016,"Jefferson County","05000US28063",197.7
2016,"Scott County","05000US20171",197.5
2016,"Calhoun County","05000US54013",197.2
2016,"Shannon County","05000US46113",194.4
2016,"San Augustine County","05000US48405",189.7
2015,"Roosevelt County","05000US30085",187.0
2017,"Calhoun County","05000US54013",185.3
2015,"Choctaw County","05000US28019",184.9
2017,"Lafayette County","05000US05073",184.2
2017,"Benson County","05000US38005",183.0
2016,"Lafayette County","05000US05073",180.5
2016,"Jefferson County","05000US40067",179.5
2015,"Major County","05000US40093",178.6
2015,"Blaine County","05000US40011",178.1
2017,"Sumter County","05000US01119",177.8
2015,"East Carroll Parish","05000US22035",177.4
2015,"Quitman County","05000US28119",175.9
2016,"Rosebud County","05000US30087",173.7
2017,"Jefferson County","05000US28063",172.2
2015,"Carter County","05000US29035",165.6
2015,"Rolette County","05000US38079",164.7
2015,"Edwards County","05000US17047",164.4
2016,"Todd County","05000US46121",163.1
2017,"Northwest Arctic Borough","05000US02188",161.6
2015,"San Augustine County","05000US48405",159.3
2015,"Lafayette County","05000US05073",159.0
2015,"Bethel Census Area","05000US02050",158.8
2015,"Keith County","05000US31101",156.5
2017,"Greene County","05000US28041",156.1
2015,"Holmes County","05000US28051",154.4
2017,"Calhoun County","05000US28013",153.0
2017,"Catahoula Parish","05000US22025",152.6
2017,"Dewey County","05000US46041",152.6
2016,"Bullock County","05000US01011",152.2
2015,"Todd County","05000US46121",151.6
2016,"Holmes County","05000US28051",149.7
2016,"Major County","05000US40093",149.7
2017,"Franklin city","05000US51620",149.6
2017,"Mahnomen County","05000US27087",149.5
2017,"Todd County","05000US46121",149.0
2015,"Humphreys County","05000US28053",148.9
2016,"Claiborne Parish","05000US22027",148.1
2016,"Roosevelt County","05000US30085",148.0
2016,"Montgomery County","05000US28097",147.2
2016,"Dewey County","05000US46041",146.9
2015,"Beadle County","05000US46005",146.5
2017,"Rosebud County","05000US30087",146.3
2016,"Bethel Census Area","05000US02050",146.1
2015,"Petersburg city","05000US51730",145.9
2016,"Quay County","05000US35037",144.7
2016,"Keith County","05000US31101",144.3
2016,"Liberty County","05000US12077",143.9
2015,"Bienville Parish","05000US22013",143.8
2015,"Nome Census Area","05000US02180",143.3
2015,"Quay County","05000US35037",142.8
2017,"Bradley County","05000US05011",142.2
2015,"North Slope Borough","05000US02185",142.0
2017,"North Slope Borough","05000US02185",142.0
2017,"Clinch County","05000US13065",141.1
2015,"McLean County","05000US38055",140.9
2017,"Roosevelt County","05000US30085",140.3
2016,"Blaine County","05000US40011",140.1
2015,"Washington County","05000US28151",139.5
2016,"Marion County","05000US28091",137.9
2016,"Petersburg city","05000US51730",137.2
2015,"La Paz County","05000US04012",136.8
2015,"Dewey County","05000US46041",136.7
2015,"Alexander County","05000US17003",136.7
2015,"Montour County","05000US42093",136.3
2016,"Harrison County","05000US21097",136.1
2017,"Calhoun County","05000US19025",135.8
2016,"Early County","05000US13099",135.4
2016,"Tallahatchie County","05000US28135",135.0
2016,"Washington County","05000US28151",133.9
2017,"Monroe County","05000US01099",133.8
2017,"Randolph County","05000US54083",133.4
2017,"Bethel Census Area","05000US02050",132.2
2015,"Simpson County","05000US28127",132.2
2015,"Walthall County","05000US28147",132.1
2016,"Beadle County","05000US46005",131.9
2016,"Rolette County","05000US38079",131.5
2017,"Clay County","05000US28025",131.4
2017,"Choctaw County","05000US28019",131.2
2015,"Okfuskee County","05000US40107",131.1
2017,"Colfax County","05000US35007",131.0
2017,"Claiborne Parish","05000US22027",130.8
2016,"Bradley County","05000US05011",130.5
2015,"Concordia Parish","05000US22029",130.5
2017,"Beckham County","05000US40009",130.0
2016,"Polk County","05000US47139",129.7
2017,"Madison Parish","05000US22065",129.1
2017,"Tallahatchie County","05000US28135",129.0
2016,"Breathitt County","05000US21025",129.0
2015,"De Soto Parish","05000US22031",128.7
2016,"Okfuskee County","05000US40107",128.4
2015,"Marion County","05000US28091",128.0
2017,"Glacier County","05000US30035",127.9
2015,"Bullock County","05000US01011",127.1
2015,"Rosebud County","05000US30087",126.9
2017,"Mississippi County","05000US29133",126.4
2017,"Somerset County","05000US24039",126.1
2017,"Lewis County","05000US54041",125.9
2015,"Washita County","05000US40149",125.6
2015,"Breathitt County","05000US21025",125.4
2015,"Madison Parish","05000US22065",125.4
2017,"Crisp County","05000US13081",125.0
2016,"Humphreys County","05000US28053",124.8
2015,"Lawrence County","05000US17101",124.5
2015,"Pike County","05000US28113",124.5
2017,"Bradford County","05000US12007",124.1
2015,"New Madrid County","05000US29143",123.6
2015,"Leslie County","05000US21131",123.4
2017,"Casey County","05000US21045",123.4
2017,"Holmes County","05000US28051",123.4
