year,geo_name,geo,hiv_prevalence_rate
2015,"Walker County","05000US48471",3764.1
2016,"Walker County","05000US48471",3623.48
2017,"Walker County","05000US48471",3442.2
2015,"Union County","05000US12125",3439.9
2016,"Union County","05000US12125",3392.27
2017,"Union County","05000US12125",3378.8
2016,"Borden County","05000US48033",2846.3
2016,"District of Columbia, DC","05000US11001",2812.47
2015,"District of Columbia, DC","05000US11001",2704.3
2017,"District of Columbia, DC","05000US11001",2695.8
2015,"Baltimore city, MD","05000US24510",2450.8
2017,"Baltimore city, MD","05000US24510",2414.3
2015,"New York County, NY","05000US36061",2391.2
2016,"Baltimore city, MD","05000US24510",2359.63
2016,"New York County, NY","05000US36061",2295.83
2017,"New York County, NY","05000US36061",2286.3
2017,"Borden County","05000US48033",2244.5
2015,"Bronx County, NY","05000US36005",2084.0
2015,"San Francisco County, CA","05000US06075",2021.7
2016,"Bronx County, NY","05000US36005",2017.53
2016,"San Francisco County, CA","05000US06075",2003.8
2017,"Bronx County, NY","05000US36005",1996.6
2017,"San Francisco County, CA","05000US06075",1990.2
2015,"Orleans Parish, LA","05000US22071",1834.3
2016,"Orleans Parish, LA","05000US22071",1823.72
2017,"Orleans Parish, LA","05000US22071",1819.5
2016,"Baker County","05000US13007",1698.51
2017,"Baker County","05000US13007",1673.7
2016,"Essex County, NJ","05000US34013",1599.75
2017,"Essex County, NJ","05000US34013",1567.3
2015,"Essex County, NJ","05000US34013",1524.5
2017,"Butts County","05000US13035",1500.2
2016,"Butts County","05000US13035",1475.72
2016,"Petersburg city","05000US51730",1407.72
2017,"Fulton County, GA","05000US13121",1393.0
2015,"Baker County","05000US13007",1356.2
2017,"Petersburg city","05000US51730",1345.3
2015,"Philadelphia County, PA","05000US42101",1316.9
2017,"DeKalb County, GA","05000US13089",1316.1
2017,"Philadelphia County, PA","05000US42101",1313.1
2015,"Kings County, NY","05000US36047",1311.6
2016,"Fulton County, GA","05000US13121",1307.29
2016,"Philadelphia County, PA","05000US42101",1284.02
2015,"Petersburg city","05000US51730",1283.1
2015,"Fulton County, GA","05000US13121",1268.7
2016,"Kings County, NY","05000US36047",1268.3
2017,"Kings County, NY","05000US36047",1260.2
2016,"DeKalb County, GA","05000US13089",1247.88
2015,"Butts County","05000US13035",1231.2
2017,"St. Louis city, MO","05000US29510",1229.1
2017,"Miami-Dade County, FL","05000US12086",1228.2
2015,"Denver County, CO","05000US08031",1222.5
2016,"Miami-Dade County, FL","05000US12086",1220.87
2017,"Calhoun County","05000US13037",1209.8
2015,"Miami-Dade County, FL","05000US12086",1207.9
2016,"Denver County, CO","05000US08031",1207.22
2016,"Calhoun County","05000US13037",1202.66
2016,"Richmond city, VA","05000US51760",1202.47
2016,"St. Louis city, MO","05000US29510",1197.07
2017,"Hinds County, MS","05000US28049",1176.0
2017,"Denver County, CO","05000US08031",1175.5
2015,"Richmond city, VA","05000US51760",1161.6
2015,"St. Louis city, MO","05000US29510",1141.2
2017,"Richmond city, VA","05000US51760",1139.3
2016,"Hinds County, MS","05000US28049",1138.18
2017,"Broward County, FL","05000US12011",1092.1
2015,"Hinds County, MS","05000US28049",1091.3
2016,"Broward County, FL","05000US12011",1081.1
2015,"DeKalb County, GA","05000US13089",1080.4
2016,"Norfolk city, VA","05000US51710",1079.85
2015,"Broward County, FL","05000US12011",1078.8
2016,"Alexandria city, VA","05000US51510",1078.39
2015,"Alexandria city, VA","05000US51510",1070.5
2017,"Norfolk city, VA","05000US51710",1062.5
2017,"Jones County","05000US48253",1057.1
2015,"Calhoun County","05000US13037",1049.9
2015,"Norfolk city, VA","05000US51710",1039.0
2016,"Hudson County, NJ","05000US34017",1038.09
2017,"Alexandria city, VA","05000US51510",1022.5
2016,"Jones County","05000US48253",1018.47
2015,"Orleans County","05000US36073",1015.6
2016,"Brooks County","05000US13027",1012.6
2017,"Hudson County, NJ","05000US34017",1011.5
2015,"Monroe County","05000US12087",1005.4
2017,"Brooks County","05000US13027",1002.0
2017,"Clayton County, GA","05000US13063",992.4
2016,"Hamilton County","05000US12047",972.32
2015,"Hudson County, NJ","05000US34017",972.3
2017,"East Baton Rouge Parish, LA","05000US22033",966.3
2017,"Hamilton County","05000US12047",963.3
2015,"Jones County","05000US48253",954.4
2016,"Orleans County","05000US36073",950.236
2016,"Monroe County","05000US12087",944.981
2017,"West Feliciana Parish","05000US22125",942.7
2016,"Suffolk County, MA","05000US25025",938.175
2015,"Hamilton County","05000US12047",934.4
2016,"East Baton Rouge Parish, LA","05000US22033",934.347
2017,"Orleans County","05000US36073",928.5
2017,"Suffolk County, MA","05000US25025",919.8
2017,"Richland County, SC","05000US45079",917.8
2016,"West Feliciana Parish","05000US22125",916.557
2017,"Monroe County","05000US12087",916.5
2016,"Clayton County, GA","05000US13063",914.121
2016,"Richland County, SC","05000US45079",906.28
2017,"Coahoma County","05000US28027",900.3
2017,"Clay County","05000US13061",894.7
2016,"Greensville County","05000US51081",889.271
2015,"West Feliciana Parish","05000US22125",885.6
2017,"Prince George's County, MD","05000US24033",883.1
2016,"Prince George's County, MD","05000US24033",881.047
2015,"Suffolk County, MA","05000US25025",877.2
2015,"Greensville County","05000US51081",875.7
2017,"Iberville Parish","05000US22047",864.2
2015,"Queens County, NY","05000US36081",862.6
2015,"Richland County, SC","05000US45079",859.6
2016,"Coahoma County","05000US28027",852.148
2017,"Dougherty County","05000US13095",851.2
2015,"East Baton Rouge Parish, LA","05000US22033",851.0
2017,"Pickaway County","05000US39129",850.2
2015,"Shelby County, TN","05000US47157",848.5
2016,"Queens County, NY","05000US36081",844.292
2017,"Queens County, NY","05000US36081",844.0
2015,"Pickaway County","05000US39129",843.5
2016,"Bee County","05000US48025",843.466
2017,"Bee County","05000US48025",843.2
2016,"Pickaway County","05000US39129",841.839
2016,"Iberville Parish","05000US22047",840.097
2017,"Shelby County, TN","05000US47157",838.1
2016,"Shelby County, TN","05000US47157",831.063
2015,"Prince George's County, MD","05000US24033",830.1
2017,"Bibb County, GA","05000US13021",825.8
2016,"Portsmouth city","05000US51740",824.74
2017,"Portsmouth city","05000US51740",808.7
2016,"Clay County","05000US13061",807.692
2017,"Greensville County","05000US51081",803.3
2017,"Bamberg County","05000US45009",802.2
2017,"Sunflower County","05000US28133",799.0
2016,"Fairfax city","05000US51600",797.967
2016,"Dougherty County","05000US13095",797.415
2015,"Franklin County","05000US36033",796.7
2016,"Johnson County","05000US17087",793.222
2017,"Dallas County, TX","05000US48113",790.0
2017,"Montgomery County, AL","05000US01101",789.7
2016,"Dallas County, TX","05000US48113",782.611
2015,"Brooks County","05000US13027",782.5
2016,"Montgomery County, AL","05000US01101",781.912
2017,"Orange County, FL","05000US12095",780.4
2016,"Sunflower County","05000US28133",778.41
2015,"Portsmouth city","05000US51740",776.9
2015,"Bee County","05000US48025",775.1
2015,"Fairfax city","05000US51600",773.5
2016,"Orange County, FL","05000US12095",773.248
2015,"Orange County, FL","05000US12095",772.3
2016,"Bamberg County","05000US45009",771.056
2017,"Johnson County","05000US17087",770.9
2015,"Iberville Parish","05000US22047",770.0
2015,"Johnson County","05000US17087",769.0
2017,"Lee County","05000US45061",768.8
2017,"Franklin County","05000US36033",764.6
2017,"Jackson County","05000US12063",762.2
2016,"Bibb County, GA","05000US13021",760.815
2017,"Wilcox County","05000US13315",759.6
2017,"Duval County, FL","05000US12031",756.9
2015,"Montgomery County, AL","05000US01101",755.5
2015,"Arlington County, VA","05000US51013",751.9
2016,"Jackson County","05000US12063",751.027
2015,"Coahoma County","05000US28027",747.9
2016,"Lee County","05000US45061",747.356
2015,"Davidson County, TN","05000US47037",745.7
2016,"Wilcox County","05000US13315",745.31
2016,"Tunica County","05000US28143",743.54
2017,"Tunica County","05000US28143",741.6
2016,"Duval County, FL","05000US12031",740.859
2017,"Fairfax city","05000US51600",740.1
2016,"Arlington County, VA","05000US51013",737.078
2016,"Franklin County","05000US36033",736.847
2015,"Dallas County, TX","05000US48113",735.8
2017,"Richmond County, GA","05000US13245",731.9
2016,"East Carroll Parish","05000US22035",728.391
2017,"Gadsden County","05000US12039",728.3
2017,"Sumter County, SC","05000US45085",725.0
2016,"Gadsden County","05000US12039",722.282
2017,"Jefferson County","05000US12065",721.6
2015,"Sunflower County","05000US28133",721.1
2015,"Bibb County, GA","05000US13021",718.2
2015,"Clayton County, GA","05000US13063",716.1
2017,"Williamsburg County","05000US45089",714.2
2017,"Arlington County, VA","05000US51013",713.3
2017,"Davidson County, TN","05000US47037",713.1
2015,"Jackson County","05000US12063",712.6
2016,"Davidson County, TN","05000US47037",712.355
2015,"Tunica County","05000US28143",709.2
2015,"Duval County, FL","05000US12031",708.6
2016,"Gulf County","05000US12045",708.104
2017,"Edgecombe County","05000US37065",706.9
2017,"Burke County","05000US13033",706.8
2017,"Chatham County, GA","05000US13051",706.6
2016,"Sumter County, SC","05000US45085",704.663
2016,"Jefferson County","05000US12065",704.054
2017,"McCormick County","05000US45065",703.9
2015,"Gadsden County","05000US12039",701.1
2017,"Gulf County","05000US12045",700.6
2015,"Bamberg County","05000US45009",699.9
2017,"East Carroll Parish","05000US22035",696.9
2016,"Williamsburg County","05000US45089",693.241
2016,"Richmond County, GA","05000US13245",691.579
2015,"Gulf County","05000US12045",689.7
2015,"Dougherty County","05000US13095",685.4
2016,"Edgecombe County","05000US37065",685.287
2015,"Allendale County","05000US45005",683.0
2015,"Wilcox County","05000US13315",680.0
2016,"Chatham County, GA","05000US13051",677.834
2015,"Williamsburg County","05000US45089",676.7
2016,"McCormick County","05000US45065",676.35
2016,"Atlantic County, NJ","05000US34001",675.757
2017,"Orangeburg County","05000US45075",674.4
2015,"Palm Beach County, FL","05000US12099",672.8
2017,"Palm Beach County, FL","05000US12099",671.4
2016,"Palm Beach County, FL","05000US12099",669.707
2016,"Burke County","05000US13033",669.559
2016,"Passaic County, NJ","05000US34031",668.31
2017,"LaSalle Parish","05000US22059",666.3
2016,"Cumberland County, NJ","05000US34011",664.974
2015,"East Carroll Parish","05000US22035",661.3
2017,"Cumberland County, NJ","05000US34011",658.2
2017,"Atlantic County, NJ","05000US34001",657.3
2015,"Somerset County","05000US24039",657.2
2016,"Durham County, NC","05000US37063",656.217
2017,"Passaic County, NJ","05000US34031",656.1
2016,"Orangeburg County","05000US45075",653.192
2017,"Allendale County","05000US45005",651.2
2017,"Clinch County","05000US13065",650.2
2017,"Hampton County","05000US45049",647.5
2016,"Clinch County","05000US13065",645.995
2015,"Durham County, NC","05000US37063",645.2
2015,"Lee County","05000US45061",644.8
2017,"Durham County, NC","05000US37063",644.2
2015,"Sumter County, SC","05000US45085",644.0
2015,"Cumberland County, NJ","05000US34011",641.9
2017,"Harris County, TX","05000US48201",640.5
2015,"Richmond County, GA","05000US13245",640.4
2015,"Edgecombe County","05000US37065",636.6
2016,"Harris County, TX","05000US48201",635.855
2016,"Union County, NJ","05000US34039",635.793
2017,"Somerset County","05000US24039",634.0
2015,"Passaic County, NJ","05000US34031",632.2
2015,"Jefferson County","05000US12065",632.1
2015,"Chatham County, GA","05000US13051",631.1
2015,"St. Lucie County, FL","05000US12111",630.1
2017,"Haywood County","05000US47075",629.6
2017,"Union County, NJ","05000US34039",628.5
2015,"Atlantic County, NJ","05000US34001",627.4
2016,"Mecklenburg County, NC","05000US37119",626.239
2017,"Jefferson County, AL","05000US01073",623.1
2016,"Jefferson County, AL","05000US01073",623.052
2016,"Allendale County","05000US45005",622.212
2016,"Somerset County","05000US24039",620.444
2017,"St. Lucie County, FL","05000US12111",620.4
2016,"Crittenden County","05000US05035",619.747
2016,"St. Lucie County, FL","05000US12111",618.71
2015,"Sullivan County","05000US36105",618.6
2015,"Union County, NJ","05000US34039",618.4
2017,"Mecklenburg County, NC","05000US37119",615.5
2017,"Hertford County","05000US37091",613.3
2015,"Hertford County","05000US37091",611.0
2017,"Jefferson County","05000US05069",608.4
2016,"Hertford County","05000US37091",608.383
2016,"Cook County, IL","05000US17031",607.551
2016,"Haywood County","05000US47075",606.18
2016,"Hampton County","05000US45049",603.483
2017,"Cook County, IL","05000US17031",601.9
2017,"Brown County","05000US17009",601.6
2016,"Jefferson County","05000US05069",601.138
2017,"Barnwell County","05000US45011",600.2
2016,"East Feliciana Parish","05000US22037",599.918
2017,"Madison County","05000US12079",599.5
2015,"McCormick County","05000US45065",597.4
2016,"Barnwell County","05000US45011",596.541
2017,"Crisp County","05000US13081",596.5
