year,geo_name,geo,income,income_moe,income_rank
2014,"Loudoun County, VA","05000US51107",123966.0,1443.0,1.0
2015,"Loudoun County, VA","05000US51107",123453.0,1436.0,1.0
2013,"Loudoun County, VA","05000US51107",122238.0,1652.0,1.0
2015,"Falls Church city","05000US51610",120522.0,7243.0,2.0
2014,"Falls Church city","05000US51610",120500.0,7427.0,2.0
2013,"Falls Church city","05000US51610",120000.0,10585.0,2.0
2015,"Fairfax County, VA","05000US51059",112552.0,1041.0,3.0
2014,"Fairfax County, VA","05000US51059",112102.0,1006.0,3.0
2013,"Fairfax County, VA","05000US51059",110292.0,933.0,3.0
2015,"Howard County, MD","05000US24027",110238.0,1963.0,4.0
2014,"Howard County, MD","05000US24027",110133.0,2364.0,4.0
2013,"Howard County, MD","05000US24027",109865.0,2210.0,4.0
2013,"Los Alamos County","05000US35028",106686.0,4955.0,5.0
2014,"Hunterdon County, NJ","05000US34019",106519.0,3055.0,5.0
2013,"Hunterdon County, NJ","05000US34019",106143.0,3050.0,6.0
2014,"Los Alamos County","05000US35028",105989.0,5896.0,6.0
2015,"Arlington County, VA","05000US51013",105763.0,2428.0,5.0
2015,"Hunterdon County, NJ","05000US34019",105444.0,2651.0,6.0
2015,"Fairfax city","05000US51600",105297.0,7530.0,7.0
2014,"Arlington County, VA","05000US51013",105120.0,1902.0,7.0
2013,"Arlington County, VA","05000US51013",103208.0,2096.0,7.0
2015,"Douglas County, CO","05000US08035",102964.0,1796.0,8.0
2014,"Douglas County, CO","05000US08035",102626.0,1592.0,8.0
2015,"Los Alamos County","05000US35028",101934.0,5499.0,9.0
2013,"Douglas County, CO","05000US08035",101591.0,1496.0,8.0
2014,"Somerset County, NJ","05000US34035",100903.0,1388.0,9.0
2015,"Somerset County, NJ","05000US34035",100667.0,1308.0,10.0
2014,"Fairfax city","05000US51600",100584.0,6960.0,10.0
2015,"Morris County, NJ","05000US34027",100214.0,1277.0,11.0
2015,"Nassau County, NY","05000US36059",99465.0,1000.0,12.0
2015,"Montgomery County, MD","05000US24031",99435.0,952.0,13.0
2014,"Morris County, NJ","05000US34027",99142.0,1213.0,11.0
2013,"Somerset County, NJ","05000US34035",99020.0,1528.0,9.0
2014,"Stafford County, VA","05000US51179",98721.0,2449.0,12.0
2014,"Montgomery County, MD","05000US24031",98704.0,1307.0,13.0
2015,"Prince William County, VA","05000US51153",98657.0,1268.0,14.0
2013,"Morris County, NJ","05000US34027",98633.0,1410.0,10.0
2014,"Prince William County, VA","05000US51153",98514.0,1689.0,14.0
2014,"Nassau County, NY","05000US36059",98401.0,1104.0,15.0
2013,"Montgomery County, MD","05000US24031",98221.0,1254.0,11.0
2013,"Prince William County, VA","05000US51153",98071.0,1668.0,12.0
2013,"Nassau County, NY","05000US36059",97690.0,932.0,13.0
2013,"Fairfax city","05000US51600",97242.0,7930.0,14.0
2015,"Stafford County, VA","05000US51179",97144.0,2422.0,15.0
2013,"Stafford County, VA","05000US51179",97110.0,2291.0,15.0
2015,"Williamson County, TN","05000US47187",96565.0,2394.0,16.0
2015,"Santa Clara County, CA","05000US06085",96310.0,783.0,17.0
2014,"Putnam County, NY","05000US36079",96262.0,2943.0,16.0
2015,"Putnam County, NY","05000US36079",96148.0,2627.0,18.0
2015,"Calvert County","05000US24009",95828.0,1911.0,19.0
2013,"Calvert County","05000US24009",95477.0,3372.0,16.0
2014,"Calvert County","05000US24009",95425.0,2973.0,17.0
2013,"Putnam County, NY","05000US36079",95117.0,3624.0,17.0
2014,"Santa Clara County, CA","05000US06085",93854.0,745.0,18.0
2015,"San Mateo County, CA","05000US06081",93623.0,1412.0,20.0
2015,"Marin County, CA","05000US06041",93257.0,2610.0,21.0
2013,"Charles County, MD","05000US24017",93160.0,2223.0,18.0
