year,geo_name,geo,median_property_value,median_property_value_moe
2013,"Nantucket County","05000US25019",929700.0,50573.0
2014,"Nantucket County","05000US25019",912600.0,37090.0
2015,"Nantucket County","05000US25019",902500.0,42819.0
2015,"New York County, NY","05000US36061",848700.0,14766.0
2014,"New York County, NY","05000US36061",838400.0,15733.0
2013,"New York County, NY","05000US36061",828100.0,13448.0
2015,"Marin County, CA","05000US06041",815100.0,12264.0
2015,"San Francisco County, CA","05000US06075",799600.0,7668.0
2014,"Marin County, CA","05000US06041",785100.0,13660.0
2013,"Marin County, CA","05000US06041",781900.0,11505.0
2015,"San Mateo County, CA","05000US06081",776300.0,8789.0
2014,"San Francisco County, CA","05000US06075",765700.0,7976.0
2013,"San Francisco County, CA","05000US06075",744600.0,6869.0
2014,"San Mateo County, CA","05000US06081",736800.0,5076.0
2013,"San Mateo County, CA","05000US06081",722200.0,4802.0
2015,"Falls Church city","05000US51610",718900.0,29345.0
2015,"Santa Clara County, CA","05000US06085",698600.0,3648.0
2015,"Teton County","05000US56039",689000.0,58357.0
2014,"Teton County","05000US56039",675000.0,48931.0
2014,"Falls Church city","05000US51610",665400.0,27965.0
2013,"Dukes County","05000US25007",665300.0,19916.0
2014,"Santa Clara County, CA","05000US06085",664100.0,2909.0
2013,"Falls Church city","05000US51610",660900.0,33114.0
2015,"Dukes County","05000US25007",660800.0,29353.0
2013,"Teton County","05000US56039",660100.0,55619.0
2013,"Santa Clara County, CA","05000US06085",645600.0,2975.0
2014,"Dukes County","05000US25007",641100.0,25118.0
2015,"Pitkin County","05000US08097",620700.0,96900.0
2013,"Pitkin County","05000US08097",611200.0,88975.0
2015,"Arlington County, VA","05000US51013",607700.0,8508.0
2014,"Arlington County, VA","05000US51013",594800.0,6987.0
2013,"Arlington County, VA","05000US51013",584600.0,8749.0
2015,"Honolulu County, HI","05000US15003",580200.0,3505.0
2015,"Santa Cruz County, CA","05000US06087",578800.0,9843.0
2014,"Pitkin County","05000US08097",570700.0,79693.0
2015,"Kings County, NY","05000US36047",570200.0,4219.0
2014,"Honolulu County, HI","05000US15003",564400.0,4237.0
2014,"Santa Cruz County, CA","05000US06087",559500.0,7728.0
2013,"Santa Cruz County, CA","05000US06087",557500.0,9596.0
2014,"Kings County, NY","05000US36047",557500.0,3866.0
2013,"Kings County, NY","05000US36047",557100.0,3631.0
2013,"Honolulu County, HI","05000US15003",556300.0,3584.0
2015,"Orange County, CA","05000US06059",553600.0,2521.0
2015,"Alameda County, CA","05000US06001",543100.0,3465.0
2014,"Orange County, CA","05000US06059",532300.0,2687.0
2013,"Maui County, HI","05000US15009",523700.0,13013.0
2013,"Orange County, CA","05000US06059",519600.0,2940.0
2013,"Westchester County, NY","05000US36119",518400.0,4711.0
2015,"San Miguel County","05000US08113",512800.0,75417.0
2014,"San Miguel County","05000US08113",511800.0,87162.0
2014,"Maui County, HI","05000US15009",510300.0,15343.0
2015,"Maui County, HI","05000US15009",509700.0,15692.0
2014,"Alameda County, CA","05000US06001",509300.0,3980.0
2014,"Westchester County, NY","05000US36119",509200.0,5530.0
2015,"Westchester County, NY","05000US36119",506900.0,5215.0
2015,"Alexandria city, VA","05000US51510",502500.0,11565.0
2015,"Fairfax County, VA","05000US51059",501200.0,3566.0
2015,"Summit County","05000US49043",497300.0,22570.0
2014,"Summit County","05000US49043",496800.0,28463.0
2014,"Alexandria city, VA","05000US51510",494400.0,10239.0
2013,"Alameda County, CA","05000US06001",493800.0,3519.0
2014,"Fairfax County, VA","05000US51059",486900.0,2590.0
2013,"Summit County","05000US49043",485700.0,26816.0
2013,"Kauai County","05000US15007",484500.0,10429.0
2014,"Kauai County","05000US15007",483800.0,9971.0
2015,"Kauai County","05000US15007",480600.0,10565.0
2015,"Summit County","05000US08117",478800.0,31249.0
2013,"Alexandria city, VA","05000US51510",476700.0,12124.0
2013,"Fairfax County, VA","05000US51059",476600.0,2928.0
2015,"District of Columbia, DC","05000US11001",475800.0,6366.0
2013,"San Juan County","05000US53055",472900.0,13830.0
2015,"Fairfax city","05000US51600",470300.0,10186.0
2014,"San Juan County","05000US53055",467000.0,14761.0
2015,"Napa County, CA","05000US06055",466800.0,8023.0
2015,"San Juan County","05000US53055",465500.0,12644.0
2015,"Santa Barbara County, CA","05000US06083",465300.0,14976.0
2014,"Fairfax city","05000US51600",462800.0,10471.0
2014,"Summit County","05000US08117",461100.0,28180.0
2013,"Summit County","05000US08117",460000.0,27991.0
2015,"Ventura County, CA","05000US06111",458100.0,3239.0
2013,"Fairfax city","05000US51600",456700.0,12736.0
2015,"Montgomery County, MD","05000US24031",454700.0,2802.0
2013,"Nassau County, NY","05000US36059",454500.0,1587.0
2014,"District of Columbia, DC","05000US11001",454500.0,6008.0
2013,"Eagle County","05000US08037",453300.0,23289.0
2013,"Santa Barbara County, CA","05000US06083",453000.0,10723.0
2015,"Loudoun County, VA","05000US51107",452300.0,3986.0
2013,"Bergen County, NJ","05000US34003",451400.0,2569.0
2013,"Queens County, NY","05000US36081",450900.0,2432.0
2015,"Queens County, NY","05000US36081",450300.0,2200.0
2014,"Montgomery County, MD","05000US24031",448700.0,3182.0
2013,"San Miguel County","05000US08113",448000.0,55066.0
2014,"Nassau County, NY","05000US36059",447700.0,1433.0
2014,"Queens County, NY","05000US36081",446800.0,2437.0
2014,"Santa Barbara County, CA","05000US06083",446500.0,11897.0
2015,"Nassau County, NY","05000US36059",446400.0,1598.0
2013,"Montgomery County, MD","05000US24031",446300.0,2626.0
2015,"San Luis Obispo County, CA","05000US06079",445700.0,6177.0
2013,"District of Columbia, DC","05000US11001",445200.0,5553.0
2014,"Ventura County, CA","05000US06111",444800.0,2527.0
2014,"Bergen County, NJ","05000US34003",443500.0,2780.0
2014,"Loudoun County, VA","05000US51107",443100.0,4411.0
2013,"Ventura County, CA","05000US06111",442200.0,3164.0
2015,"Los Angeles County, CA","05000US06037",441900.0,1285.0
