year,geo_name,geo,uninsured_adults
2015,"Hidalgo County, TX","05000US48215",0.523
2016,"Hidalgo County, TX","05000US48215",0.513
2015,"Cameron County, TX","05000US48061",0.491
2015,"Webb County, TX","05000US48479",0.483
2016,"Cameron County, TX","05000US48061",0.475
2016,"Webb County, TX","05000US48479",0.473
2016,"Starr County","05000US48427",0.468
2015,"Starr County","05000US48427",0.466
2017,"Hidalgo County, TX","05000US48215",0.46
2015,"Hudspeth County","05000US48229",0.455
2016,"Clark County","05000US16033",0.452
2015,"Echols County","05000US13101",0.449
2015,"Yukon-Koyukuk Census Area","05000US02290",0.448
2015,"Maverick County","05000US48323",0.448
2016,"Zapata County","05000US48505",0.446
2016,"DeSoto County","05000US12027",0.445
2016,"Briscoe County","05000US48045",0.443
2016,"Castro County","05000US48069",0.441
2016,"Maverick County","05000US48323",0.44
2015,"Aleutians East Borough","05000US02013",0.439
2016,"Hall County","05000US48191",0.438
2015,"Presidio County","05000US48377",0.437
2016,"Hudspeth County","05000US48229",0.437
2017,"Cameron County, TX","05000US48061",0.436
2015,"Castro County","05000US48069",0.433
2015,"Wade Hampton Census Area","05000US02270",0.433
2015,"Zapata County","05000US48505",0.431
2015,"Briscoe County","05000US48045",0.431
2017,"Starr County","05000US48427",0.428
2016,"Mason County","05000US48319",0.428
2016,"Wade Hampton Census Area","05000US02270",0.427
2016,"Aleutians East Borough","05000US02013",0.426
2015,"Culberson County","05000US48109",0.422
2015,"Hendry County","05000US12051",0.42
2016,"Yukon-Koyukuk Census Area","05000US02290",0.419
2016,"Presidio County","05000US48377",0.419
2015,"Gaines County","05000US48165",0.418
2016,"Collingsworth County","05000US48087",0.415
2016,"Bailey County","05000US48017",0.415
2017,"Webb County, TX","05000US48479",0.415
2017,"Aleutians East Borough","05000US02013",0.414
2016,"Hendry County","05000US12051",0.413
2015,"Hall County","05000US48191",0.412
2016,"Gaines County","05000US48165",0.41
2015,"McKinley County","05000US35031",0.406
2015,"Lake and Peninsula Borough","05000US02164",0.406
2016,"Dallam County","05000US48111",0.404
2015,"Yakutat City and Borough","05000US02282",0.404
2016,"Echols County","05000US13101",0.403
2016,"Miami-Dade County, FL","05000US12086",0.4
2016,"Cochran County","05000US48079",0.399
2017,"Maverick County","05000US48323",0.399
2016,"McKinley County","05000US35031",0.398
2016,"Atkinson County","05000US13003",0.398
2016,"Edwards County","05000US48137",0.397
2015,"Miami-Dade County, FL","05000US12086",0.397
2015,"Clark County","05000US16033",0.396
2015,"Cochran County","05000US48079",0.396
2017,"Castro County","05000US48069",0.395
2015,"Bailey County","05000US48017",0.395
2015,"El Paso County, TX","05000US48141",0.394
2015,"Cottle County","05000US48101",0.394
2017,"Yukon-Koyukuk Census Area","05000US02290",0.394
2015,"Northwest Arctic Borough","05000US02188",0.394
2015,"Sevier County","05000US05133",0.394
2016,"Sevier County","05000US05133",0.393
2017,"Clark County","05000US16033",0.393
2015,"Dallam County","05000US48111",0.393
2016,"Menard County","05000US48327",0.392
2016,"Northwest Arctic Borough","05000US02188",0.392
2015,"DeSoto County","05000US12027",0.391
2015,"Deaf Smith County","05000US48117",0.39
2015,"Parmer County","05000US48369",0.39
2016,"El Paso County, TX","05000US48141",0.389
2015,"Bethel Census Area","05000US02050",0.389
2016,"Cottle County","05000US48101",0.389
2016,"Nome Census Area","05000US02180",0.389
2016,"Hardee County","05000US12049",0.389
2016,"Lake and Peninsula Borough","05000US02164",0.389
2015,"Real County","05000US48385",0.388
2015,"Blaine County","05000US30005",0.388
2016,"Glades County","05000US12043",0.388
2016,"Yakutat City and Borough","05000US02282",0.387
2016,"Mills County","05000US48333",0.387
2017,"Presidio County","05000US48377",0.387
2016,"Titus County","05000US48449",0.385
2016,"Glacier County","05000US30035",0.384
2015,"Atkinson County","05000US13003",0.383
2016,"Owyhee County","05000US16073",0.383
2017,"Zapata County","05000US48505",0.383
2017,"Hudspeth County","05000US48229",0.382
2015,"Collingsworth County","05000US48087",0.382
2015,"Big Horn County","05000US30003",0.382
2017,"Northwest Arctic Borough","05000US02188",0.382
2016,"San Saba County","05000US48411",0.38
2015,"Edwards County","05000US48137",0.38
2016,"Parmer County","05000US48369",0.38
2016,"Bethel Census Area","05000US02050",0.38
2015,"Hardee County","05000US12049",0.379
2015,"Glacier County","05000US30035",0.379
2015,"Kimble County","05000US48267",0.378
2017,"Briscoe County","05000US48045",0.378
2015,"Titus County","05000US48449",0.377
2016,"Willacy County","05000US48489",0.377
2015,"Willacy County","05000US48489",0.377
2015,"Mills County","05000US48333",0.377
2016,"Terrell County","05000US48443",0.375
2017,"Bailey County","05000US48017",0.374
2015,"Menard County","05000US48327",0.373
2017,"DeSoto County","05000US12027",0.373
2016,"Comanche County","05000US48093",0.373
2016,"Big Horn County","05000US30003",0.372
2016,"Val Verde County","05000US48465",0.372
2017,"Gaines County","05000US48165",0.371
2016,"Culberson County","05000US48109",0.371
2016,"Deaf Smith County","05000US48117",0.369
2015,"Knox County","05000US48275",0.369
2015,"Throckmorton County","05000US48447",0.369
2017,"Echols County","05000US13101",0.368
2015,"Dillingham Census Area","05000US02070",0.367
2017,"Lake and Peninsula Borough","05000US02164",0.367
2015,"Sherman County","05000US48421",0.367
2016,"Sherman County","05000US48421",0.367
2016,"Gonzales County","05000US48177",0.367
2015,"Nome Census Area","05000US02180",0.366
2016,"Lamb County","05000US48279",0.366
2015,"Moore County","05000US48341",0.366
2015,"Val Verde County","05000US48465",0.365
2016,"Yakima County, WA","05000US53077",0.365
2015,"Foard County","05000US48155",0.365
2015,"Erath County","05000US48143",0.365
2015,"Glades County","05000US12043",0.364
2017,"Collingsworth County","05000US48087",0.364
2015,None,"05000US02201",0.363
2015,"Comanche County","05000US48093",0.363
2016,"Hayes County","05000US31085",0.363
2015,"Gonzales County","05000US48177",0.363
2016,"Terry County","05000US48445",0.362
2015,"Roosevelt County","05000US30085",0.362
2017,"Mason County","05000US48319",0.361
2015,"Zavala County","05000US48507",0.361
2015,"Okeechobee County","05000US12093",0.361
2017,"Bethel Census Area","05000US02050",0.361
2015,"Garfield County","05000US30033",0.361
2015,"Jim Hogg County","05000US48247",0.361
2016,"Knox County","05000US48275",0.359
2016,"Moore County","05000US48341",0.359
2017,"Parmer County","05000US48369",0.359
2017,"Glacier County","05000US30035",0.359
2017,"Hendry County","05000US12051",0.359
2017,"Nome Census Area","05000US02180",0.358
2015,"Dallas County, TX","05000US48113",0.358
2015,"Shelby County","05000US48419",0.358
2015,"Potter County, TX","05000US48375",0.357
2016,"Colquitt County","05000US13071",0.357
2016,"Dallas County, TX","05000US48113",0.357
2015,"Uvalde County","05000US48463",0.357
2015,"Owyhee County","05000US16073",0.356
2016,"Uvalde County","05000US48463",0.356
2016,"Kimble County","05000US48267",0.356
2017,"Hall County","05000US48191",0.356
2017,"Dallam County","05000US48111",0.355
2016,"Blaine County","05000US30005",0.354
2016,"Okeechobee County","05000US12093",0.354
2016,"Crosby County","05000US48107",0.353
2016,"Erath County","05000US48143",0.353
2017,"McKinley County","05000US35031",0.353
2016,None,"05000US02201",0.353
2015,"Mason County","05000US48319",0.353
2016,"Dillingham Census Area","05000US02070",0.352
2016,"Cherokee County","05000US48073",0.352
2015,"Colquitt County","05000US13071",0.352
2015,"Lake County","05000US30047",0.352
2015,"Lamb County","05000US48279",0.351
2016,"Ochiltree County","05000US48357",0.351
2015,"Adair County","05000US40001",0.35
2015,"Floyd County","05000US48153",0.35
2016,"Throckmorton County","05000US48447",0.35
2015,"Terry County","05000US48445",0.35
2015,"Ochiltree County","05000US48357",0.35
2017,"Atkinson County","05000US13003",0.35
2017,"Edwards County","05000US48137",0.349
2015,"Camp County","05000US48063",0.349
2015,"Madison County","05000US48313",0.349
2015,"Chouteau County","05000US30015",0.349
2016,"Adams County","05000US53001",0.348
2015,"Saguache County","05000US08109",0.348
2015,"Cimarron County","05000US40025",0.348
2016,"Zavala County","05000US48507",0.348
2016,"Grady County","05000US13131",0.348
2016,"Jerome County","05000US16053",0.348
2016,"Floyd County","05000US48153",0.348
2016,"Jeff Davis County","05000US48243",0.347
2016,"Real County","05000US48385",0.347
2016,"Palo Pinto County","05000US48363",0.347
2017,"Big Horn County","05000US30003",0.347
2016,"Camp County","05000US48063",0.346
2016,"Cimarron County","05000US40025",0.346
2015,"Golden Valley County","05000US30037",0.346
2015,"Haines Borough","05000US02100",0.346
2016,"Lake County","05000US30047",0.346
2016,"Motley County","05000US48345",0.346
2017,"Uvalde County","05000US48463",0.345
2015,"Crosby County","05000US48107",0.345
2015,"Southeast Fairbanks Census Area","05000US02240",0.345
2015,"Jerome County","05000US16053",0.345
2015,"Yakima County, WA","05000US53077",0.345
2016,"Collier County, FL","05000US12021",0.344
2016,"Garfield County","05000US30033",0.344
2016,"Shelby County","05000US48419",0.344
2016,"Costilla County","05000US08023",0.344
2017,"Hardee County","05000US12049",0.344
2016,"Potter County, TX","05000US48375",0.344
2015,"Clayton County, GA","05000US13063",0.344
2016,"Luna County","05000US35029",0.344
2015,"Hill County","05000US48217",0.344
2015,None,"05000US02232",0.343
2016,"Foard County","05000US48155",0.343
2017,"Deaf Smith County","05000US48117",0.343
2015,"Cherokee County","05000US48073",0.343
2017,"Menard County","05000US48327",0.343
2016,"Gooding County","05000US16047",0.342
2016,"Jim Hogg County","05000US48247",0.342
2016,"Reagan County","05000US48383",0.342
2015,"Turner County","05000US13287",0.342
2015,"Yell County","05000US05149",0.342
2016,"Saguache County","05000US08109",0.342
2016,"Dickens County","05000US48125",0.341
2015,"Houston County","05000US48225",0.341
2015,"San Saba County","05000US48411",0.341
2017,"Owyhee County","05000US16073",0.341
2015,"Noxubee County","05000US28103",0.34
2017,"San Saba County","05000US48411",0.34
2017,"Yakutat City and Borough","05000US02282",0.34
2016,"Swisher County","05000US48437",0.34
2015,"Cherokee County","05000US40021",0.34
2016,"Rabun County","05000US13241",0.34
2016,"De Baca County","05000US35011",0.339
2015,"Hansford County","05000US48195",0.339
2015,"Tift County","05000US13277",0.339
2017,"Blaine County","05000US30005",0.339
2015,"Luna County","05000US35029",0.339
2016,"Roosevelt County","05000US30085",0.338
2017,"Comanche County","05000US48093",0.338
2015,"Hopkins County","05000US48223",0.338
2017,"Cochran County","05000US48079",0.338
2015,"Jasper County","05000US45053",0.338
2015,"Dickens County","05000US48125",0.338
2016,"Lincoln County","05000US16063",0.338
2015,"Motley County","05000US48345",0.338
2016,"Madison County","05000US48313",0.338
2015,"Brooks County","05000US48047",0.337
2016,"Sanders County","05000US30089",0.337
2015,"Robeson County, NC","05000US37155",0.337
2016,"Clayton County, GA","05000US13063",0.337
2016,"Whitfield County, GA","05000US13313",0.337
2015,"La Salle County","05000US48283",0.337
2016,"Jasper County","05000US45053",0.336
2015,"Stephens County","05000US48429",0.336
2015,"Caddo County","05000US40015",0.336
2015,"Harris County, TX","05000US48201",0.336
2017,"Colquitt County","05000US13071",0.335
2016,"Adair County","05000US40001",0.335
2015,"Grady County","05000US13131",0.335
2016,"Navarro County","05000US48349",0.334
2015,"Collier County, FL","05000US12021",0.334
2015,"Carroll County","05000US05015",0.334
2016,"Harris County, TX","05000US48201",0.334
2016,"Waller County","05000US48473",0.334
2016,"Donley County","05000US48129",0.334
2016,"Gilmer County","05000US13123",0.333
2016,"Highlands County, FL","05000US12055",0.333
2016,"Stephens County","05000US48429",0.333
2015,"Reeves County","05000US48389",0.333
2015,"Reagan County","05000US48383",0.333
2016,"Hale County","05000US48189",0.333
2015,"Hale County","05000US48189",0.333
2016,"Golden Valley County","05000US30037",0.332
2017,"Dillingham Census Area","05000US02070",0.332
2017,"Culberson County","05000US48109",0.332
2015,"Phillips County","05000US30071",0.332
2015,"Whitfield County, GA","05000US13313",0.332
2015,"Dawson County","05000US48115",0.332
2015,"Van Zandt County","05000US48467",0.331
2016,"McCone County","05000US30055",0.331
2017,"Real County","05000US48385",0.33
2016,"Leake County","05000US28079",0.33
2015,"Donley County","05000US48129",0.33
2016,"Wheatland County","05000US30107",0.33
2015,"Rabun County","05000US13241",0.33
2015,"Duplin County","05000US37061",0.33
2016,"Robertson County","05000US48395",0.33
2016,"Duplin County","05000US37061",0.33
2015,"De Baca County","05000US35011",0.329
2015,"Sanders County","05000US30089",0.329
2016,"Pike County","05000US05109",0.329
2015,"Navarro County","05000US48349",0.329
2015,"Hamilton County","05000US48193",0.329
2015,"Scott County","05000US28123",0.329
2016,"Scott County","05000US28123",0.329
2017,"Willacy County","05000US48489",0.329
2015,"Swisher County","05000US48437",0.328
2015,"Adams County","05000US53001",0.328
2016,"Hansford County","05000US48195",0.328
2016,"Lipscomb County","05000US48295",0.328
2017,"Okeechobee County","05000US12093",0.328
2016,"Hopkins County","05000US48223",0.328
2015,"Lincoln County","05000US16063",0.328
2016,"Eastland County","05000US48133",0.328
2016,"Yoakum County","05000US48501",0.328
2015,"Coleman County","05000US48083",0.327
2016,"Nacogdoches County","05000US48347",0.327
2017,"Roosevelt County","05000US30085",0.327
2015,"Eastland County","05000US48133",0.327
2016,"Haines Borough","05000US02100",0.327
2015,"Liberty County","05000US48291",0.327
2015,"Esmeralda County","05000US32009",0.327
2015,"McCulloch County","05000US48307",0.327
2015,"Dewey County","05000US46041",0.327
2015,"Matagorda County","05000US48321",0.326
2016,"Camas County","05000US16025",0.326
2015,"Lafayette County","05000US12067",0.326
2016,"Esmeralda County","05000US32009",0.326
2015,"Pecos County","05000US48371",0.326
2015,"Waller County","05000US48473",0.325
2015,"Ector County, TX","05000US48135",0.325
2016,"Okanogan County","05000US53047",0.325
2016,"Leon County","05000US48289",0.325
2016,"Dawson County","05000US48115",0.325
2015,"Lipscomb County","05000US48295",0.325
2015,"San Juan County, NM","05000US35045",0.325
2016,"Hamilton County","05000US48193",0.325
2015,"Bosque County","05000US48035",0.324
2017,"Glades County","05000US12043",0.324
2015,"Yoakum County","05000US48501",0.324
2016,"Franklin County","05000US53021",0.324
2015,"Jeff Davis County","05000US48243",0.324
2015,"Nacogdoches County","05000US48347",0.324
2016,None,"05000US02232",0.323
2016,"Tattnall County","05000US13267",0.323
2016,"Robeson County, NC","05000US37155",0.323
2016,"Hill County","05000US48217",0.323
2016,"Brooks County","05000US48047",0.323
2015,"Gooding County","05000US16047",0.323
2016,"Osceola County, FL","05000US12097",0.323
2015,"Wharton County","05000US48481",0.323
2016,"Doña Ana County, NM","05000US35013",0.323
2016,"McCulloch County","05000US48307",0.323
2015,"Evans County","05000US13109",0.322
2016,"Lafayette County","05000US12067",0.322
2015,"San Jacinto County","05000US48407",0.322
2015,"Costilla County","05000US08023",0.322
2016,"San Juan County, NM","05000US35045",0.322
2015,"Texas County","05000US40139",0.322
2015,"Coffee County","05000US13069",0.321
2015,"Robertson County","05000US48395",0.321
2016,"Southeast Fairbanks Census Area","05000US02240",0.321
2017,"Shelby County","05000US48419",0.321
2015,"Delaware County","05000US40041",0.321
2015,"Burnet County","05000US48053",0.321
2017,"Knox County","05000US48275",0.321
2015,"Kodiak Island Borough","05000US02150",0.32
2017,"Lamb County","05000US48279",0.32
2017,"Adair County","05000US40001",0.32
2016,"Young County","05000US48503",0.32
2016,"Rains County","05000US48379",0.32
2017,"Gonzales County","05000US48177",0.32
2015,"LaGrange County","05000US18087",0.32
2015,"Palo Pinto County","05000US48363",0.32
2015,"Madera County, CA","05000US06039",0.32
2016,"Carroll County","05000US05015",0.319
2016,"Seward County","05000US20175",0.319
2016,"Red River County","05000US48387",0.319
2015,"Alleghany County","05000US37005",0.319
2016,"Le Flore County","05000US40079",0.319
2015,"Yuma County, AZ","05000US04027",0.319
2016,"Haskell County","05000US40061",0.319
2015,"Crockett County","05000US48105",0.319
2015,"Pike County","05000US05109",0.319
2015,"Henderson County","05000US48213",0.319
2017,"Val Verde County","05000US48465",0.319
2015,"Jackson County","05000US46071",0.319
2015,"Coke County","05000US48081",0.318
2017,"El Paso County, TX","05000US48141",0.318
2016,"Long County","05000US13183",0.318
2016,"Texas County","05000US40139",0.318
2017,"Mills County","05000US48333",0.318
2015,"Le Flore County","05000US40079",0.318
2015,"Jefferson County, TX","05000US48245",0.318
2015,"Rains County","05000US48379",0.318
2015,"Searcy County","05000US05129",0.318
2016,"Lynn County","05000US48305",0.317
2015,"Saluda County","05000US45081",0.317
2016,"Cherokee County","05000US40021",0.317
2015,"Atoka County","05000US40005",0.317
2015,"Polk County","05000US48373",0.317
2016,"La Salle County","05000US48283",0.317
2016,"Lee County, FL","05000US12071",0.317
2016,"Burleson County","05000US48051",0.317
2015,"Gilmer County","05000US13123",0.317
2016,"Yell County","05000US05149",0.317
2016,"Teton County","05000US16081",0.317
2015,"Lynn County","05000US48305",0.317
2016,"Coffee County","05000US13069",0.316
2016,"Wharton County","05000US48481",0.316
2015,"Doña Ana County, NM","05000US35013",0.316
2017,"Titus County","05000US48449",0.316
2015,"Pondera County","05000US30073",0.316
2015,"Franklin County","05000US53021",0.316
2015,"Leon County","05000US48289",0.316
2015,"Neshoba County","05000US28099",0.316
2016,"Gillespie County","05000US48171",0.316
2015,"Bacon County","05000US13005",0.316
2015,"Jones County","05000US48253",0.316
2016,"Houston County","05000US48225",0.316
2016,"Blaine County","05000US31009",0.316
2016,"Pushmataha County","05000US40127",0.315
2016,"Kodiak Island Borough","05000US02150",0.315
2016,"San Jacinto County","05000US48407",0.315
2015,"Sutton County","05000US48435",0.315
2015,"Wheatland County","05000US30107",0.315
2016,"Pondera County","05000US30073",0.315
2016,"Coleman County","05000US48083",0.315
2015,"Holmes County","05000US39075",0.315
2016,"Grimes County","05000US48185",0.315
2016,"Henderson County","05000US48213",0.315
2015,"Coal County","05000US40029",0.315
2015,"Haskell County","05000US40061",0.315
2016,"Burnet County","05000US48053",0.315
2016,"Jenkins County","05000US13165",0.314
2015,"Jenkins County","05000US13165",0.314
2016,"Baylor County","05000US48023",0.314
2016,"Gordon County","05000US13129",0.314
2015,"Aleutians West Census Area","05000US02016",0.314
2016,"Runnels County","05000US48399",0.314
2015,"Concho County","05000US48095",0.314
2016,"Pecos County","05000US48371",0.314
2016,"Catron County","05000US35003",0.314
2016,"Liberty County","05000US48291",0.314
2015,"Taos County","05000US35055",0.314
2015,"Okanogan County","05000US53047",0.314
2016,"Bastrop County","05000US48021",0.314
2017,"Zavala County","05000US48507",0.313
2016,"Jack County","05000US48237",0.313
2016,"Polk County","05000US48373",0.313
2015,"Frio County","05000US48163",0.313
2016,"Power County","05000US16077",0.313
2016,"Macon County","05000US13193",0.313
2017,"Moore County","05000US48341",0.313
2015,"Buffalo County","05000US46017",0.313
2015,"Colorado County","05000US48089",0.313
2015,"Trinity County","05000US48455",0.313
2016,"Bacon County","05000US13005",0.313
2015,"Cibola County","05000US35006",0.312
2015,"Grimes County","05000US48185",0.312
2016,"Coal County","05000US40029",0.312
2016,"Wood County","05000US48499",0.312
2016,"La Paz County","05000US04012",0.312
2016,"Hughes County","05000US40063",0.312
2015,"Montague County","05000US48337",0.312
2016,"Carter County","05000US30011",0.312
2016,"Bosque County","05000US48035",0.312
2016,"Lincoln County","05000US35027",0.312
2015,"Kleberg County","05000US48273",0.312
2017,"Motley County","05000US48345",0.312
2016,"Crockett County","05000US48105",0.312
2015,"Marshall County","05000US40095",0.312
2015,"Schleicher County","05000US48413",0.312
2017,"Cottle County","05000US48101",0.311
2015,"Young County","05000US48503",0.311
2015,"Martin County","05000US48317",0.311
2016,"Fremont County","05000US16043",0.311
2016,"Reeves County","05000US48389",0.311
2015,"Catahoula Parish","05000US22025",0.311
2016,"Stanton County","05000US20187",0.311
2015,"Jefferson County","05000US40067",0.311
2016,"Minidoka County","05000US16067",0.311
2017,"La Salle County","05000US48283",0.311
2016,"Caddo County","05000US40015",0.311
2017,"Kimble County","05000US48267",0.311
2017,"Crosby County","05000US48107",0.311
2015,"Gordon County","05000US13129",0.31
2016,"Monterey County, CA","05000US06053",0.31
2016,"Atoka County","05000US40005",0.31
2015,"Meagher County","05000US30059",0.31
2016,"Matagorda County","05000US48321",0.31
2015,"Highlands County, FL","05000US12055",0.31
2016,"Wheeler County","05000US48483",0.31
2017,"Lake County","05000US30047",0.31
2017,"Terry County","05000US48445",0.31
2016,"St. Lucie County, FL","05000US12111",0.31
2016,"Winkler County","05000US48495",0.31
2015,"Leake County","05000US28079",0.31
2016,"Aransas County","05000US48007",0.31
2015,"Terrell County","05000US48443",0.31
2015,"Falls County","05000US48145",0.31
2015,"Cook County","05000US13075",0.31
2017,"Collier County, FL","05000US12021",0.309
2015,"Caldwell County","05000US48055",0.309
2017,"Gooding County","05000US16047",0.309
2015,"Teton County","05000US16081",0.309
2015,"Gray County","05000US48179",0.309
2016,"Colusa County","05000US06011",0.309
2016,"Trinity County","05000US48455",0.309
2016,"Van Zandt County","05000US48467",0.309
2015,"Seward County","05000US20175",0.309
2016,"Searcy County","05000US05129",0.309
2015,"Gillespie County","05000US48171",0.309
2017,"Potter County, TX","05000US48375",0.309
2016,"Chouteau County","05000US30015",0.309
2015,"Judith Basin County","05000US30045",0.309
2015,"St. Mary Parish","05000US22101",0.309
