year,geo_name,geo,teen_births
2015,"Brooks County","05000US48047",128.0
2017,"Brooks County","05000US48047",123.8
2016,"Brooks County","05000US48047",123.7
2015,"Sioux County","05000US38085",123.4
2016,"Todd County","05000US46121",123.0
2015,"Todd County","05000US46121",121.0
2015,"Tunica County","05000US28143",119.4
2017,"Todd County","05000US46121",119.1
2015,"Shannon County","05000US46113",117.5
2015,"Zapata County","05000US48505",114.8
2016,"Tunica County","05000US28143",113.5
2016,"Menominee County","05000US55078",111.9
2015,"Jim Hogg County","05000US48247",111.8
2015,"Menominee County","05000US55078",111.5
2015,"Humphreys County","05000US28053",110.9
2016,"Shannon County","05000US46113",110.4
2016,"Jim Hogg County","05000US48247",108.4
2015,"Roosevelt County","05000US30085",107.3
2015,"Wade Hampton Census Area","05000US02270",107.1
2017,"Swisher County","05000US48437",107.1
2016,"Wade Hampton Census Area","05000US02270",105.9
2015,"Thurston County","05000US31173",105.1
2016,"Swisher County","05000US48437",104.9
2017,"Shannon County","05000US46113",104.3
2015,"Big Horn County","05000US30003",104.2
2016,"Zapata County","05000US48505",103.8
2016,"Sioux County","05000US38085",103.7
2015,"Swisher County","05000US48437",103.7
2015,"Dallam County","05000US48111",103.6
2015,"Crosby County","05000US48107",102.9
2016,"Dallam County","05000US48111",102.4
2016,"Roosevelt County","05000US30085",101.8
2017,"Roosevelt County","05000US30085",101.8
2016,"Big Horn County","05000US30003",101.5
2017,"Big Horn County","05000US30003",101.0
2016,"Dewey County","05000US46041",101.0
2015,"Zavala County","05000US48507",100.9
2016,"Thurston County","05000US31173",100.8
2017,"Zapata County","05000US48505",100.5
2017,"Menominee County","05000US55078",100.5
2017,"Dallam County","05000US48111",100.4
2016,"Reeves County","05000US48389",100.4
2015,"Childress County","05000US48075",100.4
2015,"Dewey County","05000US46041",100.2
2015,"Benson County","05000US38005",100.0
2016,"Buffalo County","05000US46017",99.4
2015,"Luna County","05000US35029",99.0
2016,"Benson County","05000US38005",99.0
2015,"Deaf Smith County","05000US48117",98.9
2015,"Rolette County","05000US38079",98.7
2017,"Jim Hogg County","05000US48247",98.6
2015,"Terry County","05000US48445",98.4
2016,"Petersburg city","05000US51730",98.3
2016,"Jackson County","05000US46071",98.1
2015,"Bailey County","05000US48017",98.0
2017,"Reeves County","05000US48389",97.9
2017,"Tunica County","05000US28143",97.8
2016,"Zavala County","05000US48507",97.7
2015,"Buffalo County","05000US46017",97.6
2016,"Luna County","05000US35029",97.4
2016,"Humphreys County","05000US28053",97.3
2015,"Lamb County","05000US48279",97.3
2015,"Petersburg city","05000US51730",97.1
2015,"Ben Hill County","05000US13017",97.0
2015,"Reeves County","05000US48389",96.4
2015,"Starr County","05000US48427",96.3
2016,"Deaf Smith County","05000US48117",96.3
2016,"Rolette County","05000US38079",96.2
2017,"Benson County","05000US38005",95.9
2015,"Frio County","05000US48163",95.8
2015,"Ector County, TX","05000US48135",95.6
2016,"Northwest Arctic Borough","05000US02188",95.5
2016,"Terry County","05000US48445",95.2
2015,"Sharkey County","05000US28125",95.2
2015,"Hale County","05000US48189",94.9
2017,"Buffalo County","05000US46017",94.8
2015,"Beckham County","05000US40009",94.8
2015,"Northwest Arctic Borough","05000US02188",94.7
2015,"Crockett County","05000US48105",94.7
2017,"Petersburg city","05000US51730",94.6
2016,"Beckham County","05000US40009",94.6
2016,"Lamb County","05000US48279",94.6
2016,"Bailey County","05000US48017",94.5
2016,"Crosby County","05000US48107",94.4
2015,"Adams County","05000US53001",94.3
2016,"McDowell County","05000US54047",94.0
2015,"Nome Census Area","05000US02180",94.0
2017,"Luna County","05000US35029",94.0
2015,"Dawson County","05000US48115",93.9
2015,"Potter County, TX","05000US48375",93.7
2016,"Childress County","05000US48075",93.7
2015,"Pemiscot County","05000US29155",93.6
2017,"Sioux County","05000US38085",93.5
2016,"Scurry County","05000US48415",93.3
2015,"Lake County","05000US47095",93.3
2015,"Bacon County","05000US13005",93.3
2017,"Rolette County","05000US38079",93.3
2015,"Harmon County","05000US40057",93.3
2015,"Nolan County","05000US48353",93.2
2016,"Galax city","05000US51640",93.0
2016,"Ector County, TX","05000US48135",93.0
2015,"Terrell County","05000US13273",92.8
2015,"St. Francis County","05000US05123",92.6
2015,"Scurry County","05000US48415",92.5
2017,"Bailey County","05000US48017",92.5
2016,"Starr County","05000US48427",92.4
2016,"Coahoma County","05000US28027",92.3
2015,"Seward County","05000US20175",92.3
2016,"Crockett County","05000US48105",92.3
2016,"Frio County","05000US48163",92.2
2015,"North Slope Borough","05000US02185",92.2
2015,"Quay County","05000US35037",92.1
2017,"Thurston County","05000US31173",92.0
2017,"McDowell County","05000US54047",92.0
2015,"McDowell County","05000US54047",91.9
2017,"Deaf Smith County","05000US48117",91.9
2016,"Sharkey County","05000US28125",91.8
2015,"Choctaw County","05000US40023",91.7
2016,"Atkinson County","05000US13003",91.6
2016,"St. Francis County","05000US05123",91.6
2015,"Mississippi County","05000US29133",91.5
2015,"Coahoma County","05000US28027",91.5
2015,"Jackson County","05000US46071",91.4
2017,"Terry County","05000US48445",91.3
2016,"Dawson County","05000US48115",91.2
2017,"Beckham County","05000US40009",91.2
2015,"Appling County","05000US13001",91.1
2015,"Corson County","05000US46031",91.0
2016,"Choctaw County","05000US40023",91.0
2017,"St. Francis County","05000US05123",91.0
2015,"Evans County","05000US13109",90.9
2017,"North Slope Borough","05000US02185",90.8
2015,"Galax city","05000US51640",90.8
2017,"Dewey County","05000US46041",90.8
2016,"North Slope Borough","05000US02185",90.6
2016,"Phillips County","05000US05107",90.6
2015,"Lea County","05000US35025",90.4
2017,"Crockett County","05000US48105",90.4
2017,"Zavala County","05000US48507",90.3
2015,"Atkinson County","05000US13003",90.2
2016,"Stewart County","05000US13259",90.2
